
2025/03/26 (16:25:38) | ===> btop++ v.1.4.0
2025/03/26 (16:25:38) | INFO: Logger set to INFO
2025/03/26 (16:26:01) | INFO: Quitting! Runtime: 00:02:18

2025/03/28 (08:00:20) | ===> btop++ v.1.4.0
2025/03/28 (08:00:20) | INFO: Logger set to INFO
2025/03/28 (08:00:20) | INFO: Running on /dev/pts/1
2025/03/28 (08:00:20) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/28 (08:00:47) | ===> btop++ v.1.4.0
2025/03/28 (08:00:47) | INFO: Logger set to INFO
2025/03/28 (08:00:47) | INFO: Running on /dev/pts/1
2025/03/28 (08:00:47) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2025/03/28 (08:01:18) | INFO: Quitting! Runtime: 00:00:31

2025/03/28 (08:01:24) | ===> btop++ v.1.4.0
2025/03/28 (08:01:24) | INFO: Logger set to INFO
2025/03/28 (08:01:24) | INFO: Running on /dev/pts/1
2025/03/28 (08:01:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/28 (08:01:36) | ===> btop++ v.1.4.0
2025/03/28 (08:01:36) | INFO: Logger set to INFO
2025/03/28 (08:01:36) | INFO: Running on /dev/pts/1
2025/03/28 (08:01:36) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/28 (08:46:18) | ===> btop++ v.1.4.0
2025/03/28 (08:46:18) | INFO: Logger set to INFO
2025/03/28 (08:46:18) | INFO: Running on /dev/pts/3
2025/03/28 (08:46:18) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/28 (08:46:48) | ===> btop++ v.1.4.0
2025/03/28 (08:46:48) | INFO: Logger set to INFO
2025/03/28 (08:46:48) | INFO: Running on /dev/pts/3
2025/03/28 (08:46:48) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/28 (08:47:00) | ===> btop++ v.1.4.0
2025/03/28 (08:47:00) | INFO: Logger set to INFO
2025/03/28 (08:47:00) | INFO: Running on /dev/pts/3
2025/03/28 (08:47:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/28 (08:50:52) | ===> btop++ v.1.4.0
2025/03/28 (08:50:52) | INFO: Logger set to INFO
2025/03/28 (08:50:52) | INFO: Running on /dev/pts/3
2025/03/28 (08:50:52) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2025/03/28 (08:50:54) | ===> btop++ v.1.4.0
2025/03/28 (08:50:54) | INFO: Logger set to INFO
2025/03/28 (08:50:54) | INFO: Running on /dev/pts/1
2025/03/28 (08:50:54) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
